instrument,asset_type,news_profile,sessions,span,trades_weekends,annualised_vol_pct,excess_kurtosis,skew,shock_days_per_year,shock_share_pct,lag1_autocorr_ret,lag1_autocorr_abs_ret,variance_ratio_5d,shock_up_share_pct,continuation_1d_pct,continuation_1d_t,continuation_1d_n,continuation_3d_pct,continuation_3d_t,continuation_3d_n,continuation_7d_pct,continuation_7d_t,continuation_7d_n,shock_cluster_share_pct,news_days_covered,news_spike_days,abs_ret_on_spike_vs_quiet_ratio,shock_share_on_spike_days_pct,shock_share_on_quiet_days_pct,spearman_news_ratio_vs_abs_ret,forecaster_origins,forecaster_h1_hit,forecaster_h1_pt,forecaster_h1_brier_minus_025,forecaster_h1_coverage,forecaster_h1_hit_on_shock_sessions,forecaster_h1_hit_on_calm_sessions,forecaster_h7_hit,forecaster_h7_coverage,forecaster_h1_hit_on_news_spike_days,forecaster_h1_news_spike_n,consensus_aligned_before_shock_pct,consensus_latency_median
BTC/USD,crypto,crypto,2067,2021-01-01 → 2026-08-30,True,57.5,3.97,0.15,17.49,4.79,-0.041,0.158,0.966,56.6,0.133,0.34,99,1.244,2.26,99,2.982,3.09,99,21.4,942,95,1.2,11.6,4.1,"[0.223, 0.0]",1973.0,0.488,-1.093,0.005,0.784,0.367,0.494,0.467,0.79,0.389,95.0,6.1,6.0
BITO,crypto,crypto,1219,2021-10-19 → 2026-08-28,False,54.4,3.64,0.09,10.34,4.1,-0.041,0.101,0.943,54.0,0.295,0.41,50,1.383,1.11,50,1.713,1.02,48,30.6,646,34,1.17,8.8,3.3,"[0.118, 0.0027]",1125.0,0.506,0.132,0.004,0.777,0.375,0.512,0.479,0.81,0.529,34.0,10.4,5.0
SPY,index,index,2678,2016-01-04 → 2026-08-28,False,17.5,12.71,-0.35,9.22,3.66,-0.119,0.345,0.856,33.7,-0.284,-1.81,98,-0.22,-0.84,98,-0.517,-1.52,98,25.8,646,29,0.95,6.9,3.6,"[0.122, 0.0018]",2584.0,0.526,-1.227,0.0019,0.768,0.418,0.53,0.612,0.762,0.655,29.0,12.2,2.0
SPXL,index,index,2678,2016-01-04 → 2026-08-28,False,51.9,11.9,-0.39,9.03,3.58,-0.097,0.315,0.882,33.3,-0.746,-1.58,96,-0.445,-0.58,96,-1.385,-1.35,96,25.3,646,29,0.96,6.9,3.4,"[0.124, 0.0016]",2584.0,0.527,-0.898,0.002,0.769,0.385,0.533,0.593,0.757,0.655,29.0,10.4,2.0
QQQ,index,index,2678,2016-01-04 → 2026-08-28,False,22.3,7.37,-0.19,8.47,3.36,-0.12,0.266,0.816,40.0,-0.474,-2.2,90,-0.116,-0.42,90,-0.349,-0.91,90,16.9,646,29,0.9,3.4,3.6,"[0.058, 0.1392]",,,,,,,,,,,,,
TLT,bond,index,2678,2016-01-04 → 2026-08-28,False,14.7,5.16,0.12,7.43,2.95,-0.02,0.277,0.847,51.9,0.127,0.72,79,-0.074,-0.31,79,0.378,1.32,79,17.9,646,29,1.39,6.9,2.9,"[0.135, 0.0006]",,,,,,,,,,,,,
GLD,commodity,index,2678,2016-01-04 → 2026-08-28,False,16.5,6.94,-0.48,10.35,4.11,-0.004,0.156,0.958,53.6,0.167,1.36,110,0.4,2.12,110,0.3,0.94,110,21.1,646,29,0.9,3.4,3.2,"[0.084, 0.0337]",,,,,,,,,,,,,
AAPL,stock,stock:AAPL,2681,2016-01-04 → 2026-09-02,False,28.9,6.73,0.11,10.53,4.18,-0.054,0.224,0.895,48.2,-0.05,-0.23,112,-0.452,-1.32,112,-0.912,-1.89,112,13.5,649,74,1.85,14.9,4.0,"[0.185, 0.0]",4097.0,0.513,-0.102,0.0024,0.772,0.494,0.514,0.565,0.761,0.514,74.0,14.7,4.0
MSFT,stock,stock:MSFT,2681,2016-01-04 → 2026-09-02,False,27.5,8.9,0.27,9.68,3.84,-0.123,0.248,0.802,53.4,-0.577,-2.06,103,-0.311,-1.02,103,-0.765,-1.65,103,18.6,649,91,1.46,9.9,3.2,"[0.092, 0.0184]",4097.0,0.518,1.475,0.0024,0.784,0.515,0.518,0.537,0.78,0.538,91.0,14.7,7.0
TSLA,stock,stock:TSLA,2681,2016-01-04 → 2026-09-02,False,58.6,4.31,0.27,10.25,4.06,-0.009,0.123,1.032,51.4,-0.311,-0.71,109,0.351,0.43,109,0.52,0.49,109,16.7,649,69,1.91,14.5,2.4,"[0.203, 0.0]",3975.0,0.496,-0.8,0.0045,0.778,0.497,0.496,0.514,0.773,0.565,69.0,11.1,4.0
NVDA,stock,stock:NVDA,2681,2016-01-04 → 2026-09-02,False,49.3,7.86,0.51,9.12,3.62,-0.079,0.161,0.899,54.6,-0.222,-0.62,97,0.699,1.46,97,0.874,1.04,96,9.4,649,50,1.53,12.0,2.3,"[0.148, 0.0002]",4097.0,0.506,-1.002,0.0042,0.771,0.56,0.504,0.542,0.771,0.6,50.0,17.0,4.0
