period_type,period,ret_pct,max_drawdown_pct,shock_sessions,spy_pct,prob_up_h7,share_signal_long,exposure_weighted_ret_pct
quarter,2021Q1,53.4,-21.3,0,2.6,,,
quarter,2021Q2,-40.4,-50.3,3,7.2,0.586,0.529,-44.8
quarter,2021Q3,25.0,-22.8,2,0.0,0.497,0.75,20.2
quarter,2021Q4,5.4,-31.7,1,9.8,0.537,0.957,-4.0
quarter,2022Q1,-1.4,-26.5,1,-4.6,0.475,0.556,5.3
quarter,2022Q2,-56.2,-59.3,5,-16.3,0.502,0.473,-44.9
quarter,2022Q3,-2.6,-24.5,2,-5.9,0.422,0.38,-24.1
quarter,2022Q4,-14.9,-26.0,3,7.6,0.38,0.489,-5.1
quarter,2023Q1,72.3,-18.6,1,7.5,0.423,0.956,61.1
quarter,2023Q2,7.0,-17.6,2,8.7,0.391,1.0,7.0
quarter,2023Q3,-11.5,-20.1,2,-3.2,0.411,0.663,-17.3
quarter,2023Q4,56.8,-6.6,1,11.6,0.417,0.957,42.4
quarter,2024Q1,68.7,-15.9,1,10.4,0.517,1.0,61.4
quarter,2024Q2,-12.1,-18.6,2,4.6,0.51,1.0,-10.1
quarter,2024Q3,1.0,-21.0,3,5.5,0.513,0.793,6.8
quarter,2024Q4,47.7,-12.7,1,3.4,0.544,0.924,47.7
quarter,2025Q1,-11.7,-26.0,3,-4.3,0.538,0.944,-18.9
quarter,2025Q2,29.8,-10.5,1,10.5,0.482,0.912,30.0
quarter,2025Q3,6.5,-12.3,2,8.2,0.516,1.0,7.9
quarter,2025Q4,-23.3,-32.1,2,2.3,0.576,0.859,-15.3
quarter,2026Q1,-22.0,-35.3,4,-4.4,0.518,0.6,-8.2
quarter,2026Q2,-14.2,-28.8,1,14.3,0.48,0.659,-9.9
quarter,2026Q3,34.9,-5.7,0,3.2,0.52,0.75,15.7
half-year,2021H1,-8.6,-50.3,3,11.2,0.586,0.529,-44.8
half-year,2021H2,31.8,-31.7,3,11.1,0.517,0.853,26.8
half-year,2022H1,-56.8,-60.3,6,-20.0,0.488,0.514,-41.0
half-year,2022H2,-17.1,-35.6,5,1.2,0.401,0.435,-27.9
half-year,2023H1,84.4,-18.6,3,16.8,0.407,0.978,72.3
half-year,2023H2,38.8,-20.1,3,8.0,0.414,0.81,17.7
half-year,2024H1,48.3,-20.2,3,15.2,0.513,1.0,41.9
half-year,2024H2,49.1,-21.0,4,8.2,0.528,0.859,51.6
half-year,2025H1,14.6,-28.2,4,6.1,0.51,0.928,8.9
half-year,2025H2,-18.3,-32.1,4,11.0,0.546,0.929,-4.9
half-year,2026H1,-33.1,-39.6,5,10.1,0.499,0.63,-17.3
half-year,2026H2,34.9,-5.7,0,3.2,0.52,0.75,15.7
