symbol,report_datetime_ny,after_close,eps_estimate,reported_eps
AAPL,2002-04-17 16:00,True,,
AAPL,2002-07-16 16:00,True,,
AAPL,2002-10-16 16:00,True,,
AAPL,2003-01-15 16:00,True,,
AAPL,2003-04-16 16:00,True,,
AAPL,2003-07-16 16:00,True,,
AAPL,2003-10-15 16:00,True,,
AAPL,2004-01-14 16:00,True,,
AAPL,2004-04-14 16:00,True,,
AAPL,2004-07-14 06:00,False,,
AAPL,2004-10-13 16:00,True,,
AAPL,2005-01-12 16:00,True,0.01,0.01
AAPL,2005-04-13 16:00,True,0.01,0.01
AAPL,2005-07-13 16:00,True,0.01,0.01
AAPL,2005-10-11 16:00,True,0.01,0.01
AAPL,2006-01-18 16:00,True,0.02,0.02
AAPL,2006-04-19 16:00,True,0.01,0.02
AAPL,2006-07-19 16:00,True,0.02,0.02
AAPL,2006-10-18 16:00,True,0.02,0.02
AAPL,2007-01-17 16:00,True,0.03,0.04
AAPL,2007-04-25 16:00,True,0.02,0.03
AAPL,2007-07-25 16:00,True,0.03,0.03
AAPL,2007-10-22 16:00,True,0.03,0.04
AAPL,2008-01-22 16:00,True,0.06,0.06
AAPL,2008-04-23 16:00,True,0.04,0.04
AAPL,2008-07-21 16:00,True,0.04,0.04
AAPL,2008-10-21 16:00,True,0.04,0.05
AAPL,2009-01-21 16:00,True,0.05,0.06
AAPL,2009-04-22 16:00,True,0.04,0.05
AAPL,2009-07-21 16:00,True,0.04,0.05
AAPL,2009-10-19 16:00,True,0.05,0.07
AAPL,2010-01-25 16:00,True,0.07,0.13
AAPL,2010-04-20 20:00,True,0.09,0.12
AAPL,2010-07-20 16:00,True,0.11,0.13
AAPL,2010-10-18 16:00,True,0.15,0.17
AAPL,2011-01-18 16:00,True,0.19,0.23
AAPL,2011-04-20 16:00,True,0.19,0.23
AAPL,2011-07-19 16:00,True,0.21,0.28
AAPL,2011-10-18 16:00,True,0.26,0.25
AAPL,2012-01-24 16:00,True,0.36,0.5
AAPL,2012-04-24 16:00,True,0.35,0.44
AAPL,2012-07-24 16:00,True,0.37,0.33
AAPL,2012-10-25 16:00,True,0.31,0.31
AAPL,2013-01-23 16:00,True,0.48,0.49
AAPL,2013-04-23 16:00,True,0.36,0.36
AAPL,2013-07-23 16:00,True,0.26,0.27
AAPL,2013-10-28 16:00,True,0.28,0.3
AAPL,2014-01-27 16:00,True,0.5,0.52
AAPL,2014-04-23 16:00,True,0.36,0.42
AAPL,2014-07-22 16:00,True,0.31,0.32
AAPL,2014-10-20 16:00,True,0.33,0.36
AAPL,2015-01-27 16:00,True,0.65,0.77
AAPL,2015-04-27 16:00,True,0.54,0.58
AAPL,2015-07-21 16:00,True,0.45,0.46
AAPL,2015-10-27 16:00,True,0.47,0.49
AAPL,2016-01-26 16:00,True,0.81,0.82
AAPL,2016-04-26 16:00,True,0.5,0.48
AAPL,2016-07-26 16:00,True,0.35,0.36
AAPL,2016-10-25 16:00,True,0.41,0.42
AAPL,2017-01-31 16:00,True,0.81,0.84
AAPL,2017-05-02 16:00,True,0.51,0.53
AAPL,2017-08-01 16:00,True,0.39,0.42
AAPL,2017-11-02 16:00,True,0.47,0.52
AAPL,2018-02-01 16:00,True,0.96,0.97
AAPL,2018-05-01 16:00,True,0.67,0.68
AAPL,2018-07-31 16:00,True,0.54,0.59
AAPL,2018-11-01 16:00,True,0.7,0.73
AAPL,2019-01-29 16:00,True,1.04,1.05
AAPL,2019-04-30 16:00,True,0.59,0.62
AAPL,2019-07-30 16:00,True,0.53,0.55
AAPL,2019-10-30 16:00,True,0.71,0.76
AAPL,2020-01-28 16:00,True,1.13,1.25
AAPL,2020-04-30 17:00,True,0.56,0.64
AAPL,2020-07-30 16:00,True,0.52,0.65
AAPL,2020-10-29 16:00,True,0.7,0.73
AAPL,2021-01-27 16:00,True,1.42,1.68
AAPL,2021-04-28 16:00,True,0.98,1.4
AAPL,2021-07-27 16:00,True,1.01,1.3
AAPL,2021-10-28 16:00,True,1.24,1.24
AAPL,2022-01-27 16:00,True,1.89,2.1
AAPL,2022-04-28 16:00,True,1.43,1.52
AAPL,2022-07-28 16:00,True,1.15,1.2
AAPL,2022-10-27 16:00,True,1.27,1.29
AAPL,2023-02-02 16:00,True,1.95,1.88
AAPL,2023-05-04 16:00,True,1.43,1.52
AAPL,2023-08-03 16:00,True,1.19,1.26
AAPL,2023-11-02 16:00,True,1.39,1.46
AAPL,2024-02-01 16:00,True,2.1,2.18
AAPL,2024-05-02 16:00,True,1.51,1.53
AAPL,2024-08-01 16:00,True,1.34,1.4
AAPL,2024-10-31 16:00,True,0.95,0.97
AAPL,2025-01-30 16:00,True,2.35,2.4
AAPL,2025-05-01 16:00,True,1.62,1.65
AAPL,2025-07-31 16:00,True,1.43,1.57
AAPL,2025-10-30 16:00,True,1.77,1.85
AAPL,2026-01-29 16:00,True,2.67,2.84
AAPL,2026-04-30 16:00,True,1.94,2.01
AAPL,2026-07-30 16:00,True,1.89,2.02
ADBE,2001-12-13 16:00,True,0.11,0.1
ADBE,2002-03-14 16:00,True,0.1,0.11
ADBE,2002-06-13 16:00,True,0.13,0.14
ADBE,2002-09-12 16:00,True,0.1,0.11
ADBE,2002-12-12 16:00,True,0.11,0.13
ADBE,2003-03-13 16:00,True,0.11,0.13
ADBE,2003-06-12 16:00,True,0.13,0.14
ADBE,2003-09-10 16:00,True,0.12,0.14
ADBE,2003-12-11 16:00,True,0.16,0.17
ADBE,2004-03-18 16:00,True,0.2,0.25
ADBE,2004-06-17 16:00,True,0.21,0.22
ADBE,2004-09-20 16:00,True,0.19,0.22
ADBE,2004-12-16 16:00,True,0.21,0.22
ADBE,2005-03-17 16:00,True,0.25,0.27
ADBE,2005-06-16 16:00,True,0.27,0.28
ADBE,2005-09-15 16:00,True,0.27,0.29
ADBE,2005-12-15 16:00,True,0.28,0.3
ADBE,2006-03-22 17:00,True,0.29,0.32
ADBE,2006-06-15 16:00,True,0.3,0.31
ADBE,2006-09-14 16:00,True,0.26,0.29
ADBE,2006-12-14 16:00,True,0.33,0.33
ADBE,2007-03-20 16:00,True,0.29,0.3
ADBE,2007-06-14 16:00,True,0.36,0.37
ADBE,2007-09-17 16:00,True,0.41,0.45
ADBE,2007-12-17 16:00,True,0.48,0.49
ADBE,2008-03-18 16:00,True,0.45,0.48
ADBE,2008-06-16 16:00,True,0.46,0.5
ADBE,2008-09-16 16:00,True,0.46,0.5
ADBE,2008-12-16 16:00,True,0.57,0.6
ADBE,2009-03-17 16:00,True,0.44,0.45
ADBE,2009-06-16 16:00,True,0.34,0.35
ADBE,2009-09-15 16:00,True,0.33,0.35
ADBE,2009-12-15 16:00,True,0.37,0.39
ADBE,2010-03-23 16:00,True,0.37,0.4
ADBE,2010-06-22 16:00,True,0.43,0.44
ADBE,2010-09-21 16:00,True,0.49,0.54
ADBE,2010-12-20 16:00,True,0.52,0.56
ADBE,2011-03-22 16:00,True,0.57,0.58
ADBE,2011-06-21 16:00,True,0.51,0.55
ADBE,2011-09-20 16:00,True,0.54,0.55
ADBE,2011-12-15 16:00,True,0.61,0.67
ADBE,2012-03-19 16:00,True,0.57,0.57
ADBE,2012-06-19 16:00,True,0.59,0.6
ADBE,2012-09-19 16:00,True,0.58,0.58
ADBE,2012-12-13 16:00,True,0.56,0.61
ADBE,2013-03-19 16:00,True,0.31,0.35
ADBE,2013-06-18 16:00,True,0.34,0.36
ADBE,2013-09-17 16:00,True,0.33,0.32
ADBE,2013-12-12 16:00,True,0.32,0.32
ADBE,2014-03-18 16:00,True,0.25,0.3
ADBE,2014-06-17 16:00,True,0.3,0.37
ADBE,2014-09-16 16:00,True,0.26,0.28
ADBE,2014-12-11 16:00,True,0.3,0.36
