family,instrument,test,p,direction,q_within_family,q_all_tests
A_direction_vs_half,bito,h=1 hit=0.5058,0.720532,above,0.7613168301886791,0.8828141686747029
A_direction_vs_half,bito,h=2 hit=0.4715,0.060178,below,0.0842492,0.15770786206896553
A_direction_vs_half,bito,h=3 hit=0.4595,0.007212,below,0.011878588235294118,0.024181411764705882
A_direction_vs_half,bito,h=4 hit=0.4795,0.179106,below,0.22288746666666664,0.34797372371321866
A_direction_vs_half,bito,h=5 hit=0.4808,0.209666,below,0.25524556521739133,0.379395619047619
A_direction_vs_half,bito,h=6 hit=0.4955,0.788001,below,0.8171862222222223,0.9078939008746857
A_direction_vs_half,bito,h=7 hit=0.479,0.169064,below,0.2151723636363636,0.338128
B_pesaran_timmermann_skill,bito,h=1 PT=0.132,0.44749214587440367,skill,0.9488332187218765,0.6756835050289008
C_brier_worse_than_coin,bito,h=1 t=1.717,0.086,worse,0.172,0.20639999999999997
B_pesaran_timmermann_skill,bito,h=2 PT=-1.417,0.921758536263457,skill,0.9513412668142535,0.9729673438336491
C_brier_worse_than_coin,bito,h=2 t=3.807,0.0001,worse,0.00056,0.0005302325581395349
B_pesaran_timmermann_skill,bito,h=3 PT=-1.538,0.9379756926084984,skill,0.9513412668142535,0.9814742481160624
C_brier_worse_than_coin,bito,h=3 t=4.497,1e-06,worse,9.333333333333333e-06,6.3333333333333326e-06
B_pesaran_timmermann_skill,bito,h=4 PT=-0.619,0.7320418205570149,skill,0.9488332187218765,0.8828141686747029
C_brier_worse_than_coin,bito,h=4 t=2.985,0.0028,worse,0.0098,0.01064
B_pesaran_timmermann_skill,bito,h=5 PT=-0.467,0.6797500609641915,skill,0.9488332187218765,0.8573802197802198
C_brier_worse_than_coin,bito,h=5 t=3.414,0.0006,worse,0.0025846153846153844,0.0026823529411764704
B_pesaran_timmermann_skill,bito,h=6 PT=-0.04,0.5159534368528307,skill,0.9488332187218765,0.7189635679300443
C_brier_worse_than_coin,bito,h=6 t=2.557,0.0106,worse,0.02826666666666667,0.03356666666666666
B_pesaran_timmermann_skill,bito,h=7 PT=-0.452,0.6743655087796795,skill,0.9488332187218765,0.8573802197802198
C_brier_worse_than_coin,bito,h=7 t=3.234,0.0012,worse,0.00448,0.004974545454545454
D_shock_vs_calm_hit,bito,diff=-0.1426,0.00025,shock worse,0.0005,0.00114
E_pre_event_direction,bito,hit=0.375 n=48,0.111403,below,0.258586,0.251484
F_continuation_7d,bito,mean=1.606% n=46,0.3602,continuation,0.4116571428571429,0.569088
G_headline_spike_direction,bito,hit=0.5294 n=34,0.864166,above,0.864166,0.9290614647887324
H_headline_spike_surprise,bito,MWU |s| spike > quiet,0.00486,larger surprise,0.00972,0.017047384615384614
A_direction_vs_half,btc,h=1 hit=0.4881,0.300385,below,0.35790553191489366,0.5012395031831575
A_direction_vs_half,btc,h=2 hit=0.5,1.0,above,1.0,1.0
A_direction_vs_half,btc,h=3 hit=0.4886,0.321646,below,0.37525366666666665,0.527592
A_direction_vs_half,btc,h=4 hit=0.4888,0.332645,below,0.38016571428571433,0.5378940425531915
A_direction_vs_half,btc,h=5 hit=0.4759,0.034116,below,0.051635027027027026,0.0984613670886076
A_direction_vs_half,btc,h=6 hit=0.4827,0.130947,below,0.17053562790697674,0.2808448598130841
A_direction_vs_half,btc,h=7 hit=0.4672,0.00389,below,0.006807499999999999,0.014305161290322579
B_pesaran_timmermann_skill,btc,h=1 PT=-1.093,0.8628031001259011,skill,0.9488332187218765,0.9290614647887324
C_brier_worse_than_coin,btc,h=1 t=3.268,0.0011,worse,0.0044,0.004686666666666667
B_pesaran_timmermann_skill,btc,h=2 PT=-0.005,0.5019947030907408,skill,0.9488332187218765,0.7189635679300443
C_brier_worse_than_coin,btc,h=2 t=3.665,0.0002,worse,0.0009333333333333333,0.000991304347826087
B_pesaran_timmermann_skill,btc,h=3 PT=-0.634,0.7369595889434408,skill,0.9488332187218765,0.8828141686747029
C_brier_worse_than_coin,btc,h=3 t=3.927,0.0001,worse,0.00056,0.0005302325581395349
