symbol,date,direction,ret_pct,z,spy_z_same_day,qqq_z_same_day,category,news_covered,headline_count,headline_sha256,attribution,attribution_source,pre_h1_prob_up,pre_h1_band_pct,pre_h1_hit,pre_h1_covered,pre_h1_surprise_z,pre_path_coverage_1to7,pre_signal_3day,pre_consensus,consensus_already_aligned,consensus_latency_sessions,post_1d_pct,post_3d_pct,post_7d_pct,continuation_7d_pct
AAPL,2010-06-29,down,-4.521,-2.74,-2.06,-2.61,market-wide,False,0,[],market-wide move,SPY/QQQ same-day z,0.533,"[-2.021, 0.181, 2.56]",0,0,-2.63,0.143,0,Hold,False,,-1.811,-3.603,1.347,-1.347
AAPL,2010-08-11,down,-3.554,-3.13,-2.48,-2.37,market-wide,False,0,[],market-wide move,SPY/QQQ same-day z,0.517,"[-1.209, 0.05, 1.655]",0,0,-3.23,0.286,1,Hold,False,,0.64,-1.019,-0.22,0.22
AAPL,2010-10-05,up,3.697,3.16,2.61,3.09,market-wide,False,0,[],market-wide move,SPY/QQQ same-day z,0.517,"[-1.472, 0.127, 1.852]",1,0,2.75,0.571,1,Buy,True,,0.087,1.775,4.627,4.627
AAPL,2010-10-15,up,4.112,3.23,0.25,2.36,market-wide,False,0,[],market-wide move,SPY/QQQ same-day z,0.65,"[-0.962, 0.352, 1.636]",1,0,3.71,0.714,1,Buy,True,,1.036,-1.338,-2.126,-2.126
AAPL,2011-01-03,up,2.173,4.89,3.87,4.7,market-wide,False,0,[],market-wide move,SPY/QQQ same-day z,0.567,"[-0.688, 0.116, 0.942]",1,0,3.24,0.0,1,Buy,True,,0.522,1.262,4.506,4.506
AAPL,2011-01-10,up,1.883,3.21,-0.36,0.77,idiosyncratic,False,0,[],,,0.633,"[-0.457, 0.186, 0.881]",1,0,3.25,0.429,1,Buy,True,,-0.237,0.943,-2.853,-2.853
AAPL,2011-01-18,down,-2.247,-3.28,0.46,0.61,idiosyncratic,False,0,[],,,0.65,"[-0.407, 0.238, 0.925]",0,0,-4.78,0.0,1,Buy,False,,-0.531,-4.089,0.751,-0.751
AAPL,2011-01-24,up,3.284,3.01,1.3,2.31,market-wide,False,0,[],market-wide move,SPY/QQQ same-day z,0.5,"[-1.443, -0.016, 1.744]",1,0,2.65,0.429,1,Buy,True,,1.171,1.707,2.036,2.036
AAPL,2011-02-22,down,-3.409,-2.69,-3.29,-3.53,market-wide,False,0,[],market-wide move,SPY/QQQ same-day z,0.517,"[-1.513, 0.016, 1.843]",0,0,-2.62,0.857,1,Buy,False,,1.184,2.82,6.187,-6.187
AAPL,2011-03-16,down,-4.464,-3.03,-1.89,-2.17,market-wide,False,0,[],market-wide move,SPY/QQQ same-day z,0.567,"[-2.439, 0.279, 2.29]",0,0,-2.57,0.571,1,Buy,False,,1.403,2.815,6.524,-6.524
AAPL,2011-05-31,up,3.088,3.29,1.66,2.16,market-wide,False,0,[],market-wide move,SPY/QQQ same-day z,0.533,"[-1.152, 0.181, 1.55]",1,0,2.76,0.857,1,Hold,False,0.0,-0.667,-1.262,-4.698,-4.698
AAPL,2011-06-21,up,3.165,2.52,1.48,2.13,market-wide,False,0,[],market-wide move,SPY/QQQ same-day z,0.467,"[-1.865, -0.213, 1.937]",0,0,2.28,0.714,1,Buy,True,,-0.827,0.323,3.188,3.188
AAPL,2011-07-27,down,-2.682,-2.62,-2.27,-2.57,market-wide,False,0,[],market-wide move,SPY/QQQ same-day z,0.617,"[-1.122, 0.345, 1.34]",0,0,-3.15,0.286,1,Buy,False,,-0.196,1.06,-4.832,4.832
AAPL,2011-08-04,down,-3.872,-2.78,-4.5,-3.77,market-wide,False,0,[],market-wide move,SPY/QQQ same-day z,0.517,"[-1.505, 0.052, 1.833]",0,0,-3.01,0.0,1,Buy,False,,-0.994,-0.89,1.601,-1.601
AAPL,2011-08-08,down,-5.463,-3.23,-4.74,-3.94,market-wide,False,0,[],market-wide move,SPY/QQQ same-day z,0.45,"[-2.797, -0.306, 2.203]",1,0,-2.64,0.857,1,Hold,False,,5.889,5.801,7.709,-7.709
AAPL,2011-08-09,up,5.889,2.85,2.48,2.49,market-wide,False,0,[],market-wide move,SPY/QQQ same-day z,0.483,"[-3.793, -0.243, 3.317]",0,0,2.21,0.714,1,Buy,True,,-2.759,0.797,-2.128,-2.128
AAPL,2011-10-10,up,5.141,3.55,1.86,2.06,market-wide,False,0,[],market-wide move,SPY/QQQ same-day z,0.467,"[-2.221, -0.246, 2.247]",0,0,3.09,0.0,1,Hold,False,8.0,2.953,5.046,2.523,2.523
AAPL,2011-10-19,down,-5.594,-2.88,-0.59,-1.04,earnings,False,0,[],earnings report,earnings calendar,0.567,"[-1.856, 0.227, 2.252]",0,0,-3.63,0.429,1,Hold,False,,-0.83,1.794,1.588,-1.588
AAPL,2012-01-25,up,6.244,6.51,1.29,1.89,earnings,False,0,[],earnings report,earnings calendar,0.467,"[-1.663, -0.123, 1.392]",0,0,5.34,0.0,1,Buy,True,,-0.454,1.422,2.915,2.915
AAPL,2012-03-14,up,3.781,2.88,-0.16,0.46,idiosyncratic,False,0,[],,,0.7,"[-1.072, 0.715, 2.14]",1,0,2.45,0.571,1,Buy,True,,-0.682,1.954,1.097,1.097
